hour_of_year,PALOVRDE_ASR-APND LMP,SMD4_ASR-APND LMP,SMD5_ASR-APND LMP,SMD6_ASR-APND LMP,SMD7_ASR-APND LMP,SMD8_ASR-APND LMP,SMD9_ASR-APND LMP,SMDA_ASR-APND LMP,SMDB_ASR-APND LMP,SMDC_ASR-APND LMP,SMDG_ASR-APND LMP,SMDH_ASR-APND LMP,SUMMIT_ASR-APND LMP,PALOVRDE_ASR-APND (Congestion),SMD4_ASR-APND (Congestion),SMD5_ASR-APND (Congestion),SMD6_ASR-APND (Congestion),SMD7_ASR-APND (Congestion),SMD8_ASR-APND (Congestion),SMD9_ASR-APND (Congestion),SMDA_ASR-APND (Congestion),SMDB_ASR-APND (Congestion),SMDC_ASR-APND (Congestion),SMDG_ASR-APND (Congestion),SMDH_ASR-APND (Congestion),SUMMIT_ASR-APND (Congestion),PALOVRDE_ASR-APND (Energy),SMD4_ASR-APND (Energy),SMD5_ASR-APND (Energy),SMD6_ASR-APND (Energy),SMD7_ASR-APND (Energy),SMD8_ASR-APND (Energy),SMD9_ASR-APND (Energy),SMDA_ASR-APND (Energy),SMDB_ASR-APND (Energy),SMDC_ASR-APND (Energy),SMDG_ASR-APND (Energy),SMDH_ASR-APND (Energy),SUMMIT_ASR-APND (Energy),PALOVRDE_ASR-APND (Loss),SMD4_ASR-APND (Loss),SMD5_ASR-APND (Loss),SMD6_ASR-APND (Loss),SMD7_ASR-APND (Loss),SMD8_ASR-APND (Loss),SMD9_ASR-APND (Loss),SMDA_ASR-APND (Loss),SMDB_ASR-APND (Loss),SMDC_ASR-APND (Loss),SMDG_ASR-APND (Loss),SMDH_ASR-APND (Loss),SUMMIT_ASR-APND (Loss)
2771,54.90406,61.55576,61.55576,61.55576,61.55576,61.55576,61.55576,61.55576,61.55576,61.55576,61.55576,61.55576,-108.5096,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-165.85674,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,59.55929,-3.65402,1.99528,1.99528,1.99528,1.99528,1.99528,1.99528,1.99528,1.99528,1.99528,1.99528,1.99528,-1.21215
2772,48.40825,65.22951,65.22951,65.22951,65.22951,65.22951,65.22951,65.22951,65.22951,65.22951,65.22951,65.22951,-35.72817,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-87.8557,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,63.00421,-3.97596,2.22409,2.22409,2.22409,2.22409,2.22409,2.22409,2.22409,2.22409,2.22409,2.22409,2.22409,-0.25668
2773,47.66954,64.00463,64.00463,64.00463,64.00463,64.00463,64.00463,64.00463,64.00463,64.00463,64.00463,64.00463,-47.18296,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-98.29915,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,61.92878,-3.63768,2.07465,2.07465,2.07465,2.07465,2.07465,2.07465,2.07465,2.07465,2.07465,2.07465,2.07465,-0.18983
2774,47.19769,64.15677,64.15677,64.15677,64.15677,64.15677,64.15677,64.15677,64.15677,64.15677,64.15677,64.15677,51.29952,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,62.38384,-3.64545,1.77174,1.77174,1.77174,1.77174,1.77174,1.77174,1.77174,1.77174,1.77174,1.77174,1.77174,0.45758
2775,52.70283,65.32609,65.32609,65.32609,65.32609,65.32609,65.32609,65.32609,65.32609,65.32609,65.32609,65.32609,57.61094,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,63.59507,-4.05232,1.72982,1.72982,1.72982,1.72982,1.72982,1.72982,1.72982,1.72982,1.72982,1.72982,1.72982,0.85698
2776,60.31154,67.68001,67.68001,67.68001,67.68001,67.68001,67.68001,67.68001,67.68001,67.68001,67.68001,67.68001,66.53674,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,66.11839,-4.80565,1.56042,1.56042,1.56042,1.56042,1.56042,1.56042,1.56042,1.56042,1.56042,1.56042,1.56042,1.41955
2777,62.99649,84.40823,84.40823,84.40823,84.40823,84.40823,84.40823,84.40823,84.40823,84.40823,84.40823,84.40823,67.2356,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,83.27688,-4.82919,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,-0.59008
2778,78.73063,103.81301,103.81301,103.81301,103.81301,103.81301,103.81301,103.81301,103.81301,103.81301,103.81301,103.81301,87.38177,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,100.84927,-9.18744,2.96493,2.96493,2.96493,2.96493,2.96493,2.96493,2.96493,2.96493,2.96493,2.96493,2.96493,-0.5363
2779,59.73822,70.95234,70.95234,70.95234,70.95234,70.95234,70.95234,70.95234,70.95234,70.95234,70.95234,70.95234,-504.66013,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-570.8203,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,68.3866,-7.64838,2.56454,2.56454,2.56454,2.56454,2.56454,2.56454,2.56454,2.56454,2.56454,2.56454,2.56454,-1.22641
2780,54.12013,66.76126,66.76126,66.76126,66.76126,66.76126,66.76126,66.76126,66.76126,66.76126,66.76126,66.76126,65.95268,-4.58172,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,-1.47167,0.0012,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,65.36968,-6.66783,2.86324,2.86324,2.86324,2.86324,2.86324,2.86324,2.86324,2.86324,2.86324,2.86324,2.86324,0.5818
2781,36.43443,58.79379,58.79379,58.79379,58.79379,58.79379,58.79379,58.79379,58.79379,58.79379,58.79379,58.79379,52.72644,-6.72613,8.85354,8.85354,8.85354,8.85354,8.85354,8.85354,8.85354,8.85354,8.85354,8.85354,8.85354,4.59379,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,47.94566,-4.7851,1.99459,1.99459,1.99459,1.99459,1.99459,1.99459,1.99459,1.99459,1.99459,1.99459,1.99459,0.18699
2782,16.1411,51.64104,51.64104,51.64104,51.64104,51.64104,51.64104,51.64104,51.64104,51.64104,51.64104,51.64104,41.21798,-12.72702,18.55638,18.55638,18.55638,18.55638,18.55638,18.55638,18.55638,18.55638,18.55638,18.55638,18.55638,9.04414,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,31.84581,-2.9777,1.23885,1.23885,1.23885,1.23885,1.23885,1.23885,1.23885,1.23885,1.23885,1.23885,1.23885,0.32802
2783,38.4816,52.82333,52.82333,52.82333,52.82333,52.82333,52.82333,52.82333,52.82333,52.82333,52.82333,52.82333,43.66067,8.80683,16.75865,16.75865,16.75865,16.75865,16.75865,16.75865,16.75865,16.75865,16.75865,16.75865,16.75865,8.40896,34.741,34.741,34.741,34.741,34.741,34.741,34.741,34.741,34.741,34.741,34.741,34.741,34.741,-5.06623,1.32368,1.32368,1.32368,1.32368,1.32368,1.32368,1.32368,1.32368,1.32368,1.32368,1.32368,0.51071
2784,42.47381,54.79123,54.79123,54.79123,54.79123,54.79123,54.79123,54.79123,54.79123,54.79123,54.79123,54.79123,49.05233,5.11502,11.14622,11.14622,11.14622,11.14622,11.14622,11.14622,11.14622,11.14622,11.14622,11.14622,11.14622,5.87424,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,42.06338,-4.70459,1.58163,1.58163,1.58163,1.58163,1.58163,1.58163,1.58163,1.58163,1.58163,1.58163,1.58163,1.11471
2785,42.25,48.08303,48.08303,48.08303,48.08303,48.08303,48.08303,48.08303,48.08303,48.08303,48.08303,48.08303,45.63828,0.2865,6.11954,6.11954,6.11954,6.11954,6.11954,6.11954,6.11954,6.11954,6.11954,6.11954,6.11954,3.67479,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,41.9635,0,0,0,0,0,0,0,0,0,0,0,0,0
2786,42.67793,1.25649,1.25649,1.25649,1.25649,1.25649,1.25649,1.25649,1.25649,1.25649,1.25649,1.25649,1.54889,44.90542,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,-0.35468,0.0012,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,1.54321,-3.7707,0.06795,0.06795,0.06795,0.06795,0.06795,0.06795,0.06795,0.06795,0.06795,0.06795,0.06795,0.00448
2787,42.85748,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00933,-0.00874,46.09821,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.00095,0.0012,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-0.00994,-3.23079,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,-0.00034,0
2788,38.62051,40.96907,40.96907,40.96907,40.96907,40.96907,40.96907,40.96907,40.96907,40.96907,40.96907,40.96907,40.9035,0.0012,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,-1.45859,0,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,41.30416,-2.68485,1.12351,1.12351,1.12351,1.12351,1.12351,1.12351,1.12351,1.12351,1.12351,1.12351,1.12351,-0.40065
2789,56.6012,57.8312,57.8312,57.8312,57.8312,57.8312,57.8312,57.8312,57.8312,57.8312,57.8312,57.8312,56.5988,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,57.83,57.83,57.83,57.83,57.83,57.83,57.83,57.83,57.83,57.83,57.83,57.83,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0
2790,65.90797,88.01757,88.01757,88.01757,88.01757,88.01757,88.01757,88.01757,88.01757,88.01757,88.01757,88.01757,68.05061,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,87.52862,-2.15065,0.49015,0.49015,0.49015,0.49015,0.49015,0.49015,0.49015,0.49015,0.49015,0.49015,0.49015,-0.00681
2791,83.35585,116.55194,116.55194,116.55194,116.55194,116.55194,116.55194,116.55194,116.55194,116.55194,116.55194,116.55194,86.32695,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,114.78546,-3.51841,1.76768,1.76768,1.76768,1.76768,1.76768,1.76768,1.76768,1.76768,1.76768,1.76768,1.76768,-0.54731
2792,79.01732,104.36456,104.36456,104.36456,104.36456,104.36456,104.36456,104.36456,104.36456,104.36456,104.36456,104.36456,82.60331,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,101.86757,-4.57235,2.49578,2.49578,2.49578,2.49578,2.49578,2.49578,2.49578,2.49578,2.49578,2.49578,2.49578,-0.98636
2793,89.75784,110.85492,110.85492,110.85492,110.85492,110.85492,110.85492,110.85492,110.85492,110.85492,110.85492,110.85492,94.36251,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,108.26613,-5.57709,2.58759,2.58759,2.58759,2.58759,2.58759,2.58759,2.58759,2.58759,2.58759,2.58759,2.58759,-0.97242
2794,69.37836,89.84015,89.84015,89.84015,89.84015,89.84015,89.84015,89.84015,89.84015,89.84015,89.84015,89.84015,75.93715,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,87.54764,-5.23807,2.29372,2.29372,2.29372,2.29372,2.29372,2.29372,2.29372,2.29372,2.29372,2.29372,2.29372,1.32071
2795,57.38997,74.54097,74.54097,74.54097,74.54097,74.54097,74.54097,74.54097,74.54097,74.54097,74.54097,74.54097,63.1116,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,72.61783,-4.66666,1.92434,1.92434,1.92434,1.92434,1.92434,1.92434,1.92434,1.92434,1.92434,1.92434,1.92434,1.05496
2796,58.80743,76.4567,76.4567,76.4567,76.4567,76.4567,76.4567,76.4567,76.4567,76.4567,76.4567,76.4567,64.62673,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,74.49622,-5.12759,1.95928,1.95928,1.95928,1.95928,1.95928,1.95928,1.95928,1.95928,1.95928,1.95928,1.95928,0.69051
2797,59.78603,76.77171,76.77171,76.77171,76.77171,76.77171,76.77171,76.77171,76.77171,76.77171,76.77171,76.77171,64.39363,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,0,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,75.12029,-5.093,1.65262,1.65262,1.65262,1.65262,1.65262,1.65262,1.65262,1.65262,1.65262,1.65262,1.65262,-0.4866
2798,58.94528,74.22016,74.22016,74.22016,74.22016,74.22016,74.22016,74.22016,74.22016,74.22016,74.22016,74.22016,63.93292,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,72.38753,-5.23031,1.83143,1.83143,1.83143,1.83143,1.83143,1.83143,1.83143,1.83143,1.83143,1.83143,1.83143,-0.24387
2799,61.49877,77.45093,77.45093,77.45093,77.45093,77.45093,77.45093,77.45093,77.45093,77.45093,77.45093,77.45093,66.48599,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,0,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,76.06771,-5.42774,1.38441,1.38441,1.38441,1.38441,1.38441,1.38441,1.38441,1.38441,1.38441,1.38441,1.38441,-0.44172
2800,58.55722,76.42879,76.42879,76.42879,76.42879,76.42879,76.42879,76.42879,76.42879,76.42879,76.42879,76.42879,63.7273,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,74.80431,-5.335,1.62328,1.62328,1.62328,1.62328,1.62328,1.62328,1.62328,1.62328,1.62328,1.62328,1.62328,-0.16612
2801,62.68368,82.80601,82.80601,82.80601,82.80601,82.80601,82.80601,82.80601,82.80601,82.80601,82.80601,82.80601,66.65927,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,81.00644,-5.39156,1.79837,1.79837,1.79837,1.79837,1.79837,1.79837,1.79837,1.79837,1.79837,1.79837,1.79837,-1.41596
2802,64.62187,86.9948,86.9948,86.9948,86.9948,86.9948,86.9948,86.9948,86.9948,86.9948,86.9948,86.9948,-357.2925,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-429.0012,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,84.38604,-7.53296,2.60757,2.60757,2.60757,2.60757,2.60757,2.60757,2.60757,2.60757,2.60757,2.60757,2.60757,-0.44736
2803,61.13084,71.24612,71.24612,71.24612,71.24612,71.24612,71.24612,71.24612,71.24612,71.24612,71.24612,71.24612,-280.29242,-0.82502,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-349.4539,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,69.21683,-7.26097,2.02809,2.02809,2.02809,2.02809,2.02809,2.02809,2.02809,2.02809,2.02809,2.02809,2.02809,-0.05537
2804,62.57406,70.23766,70.23766,70.23766,70.23766,70.23766,70.23766,70.23766,70.23766,70.23766,70.23766,70.23766,70.03964,0.0012,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,-1.50481,0.0012,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,69.83592,-7.26306,1.90655,1.90655,1.90655,1.90655,1.90655,1.90655,1.90655,1.90655,1.90655,1.90655,1.90655,0.20253
2805,40.01402,59.43239,59.43239,59.43239,59.43239,59.43239,59.43239,59.43239,59.43239,59.43239,59.43239,59.43239,-149.56158,-5.4185,6.81863,6.81863,6.81863,6.81863,6.81863,6.81863,6.81863,6.81863,6.81863,6.81863,6.81863,-201.61761,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,50.89352,-5.461,1.72024,1.72024,1.72024,1.72024,1.72024,1.72024,1.72024,1.72024,1.72024,1.72024,1.72024,1.1625
2806,44.20952,49.97902,49.97902,49.97902,49.97902,49.97902,49.97902,49.97902,49.97902,49.97902,49.97902,49.97902,49.11427,-0.05319,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,-1.46739,0.0012,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,49.64428,-5.38157,1.80213,1.80213,1.80213,1.80213,1.80213,1.80213,1.80213,1.80213,1.80213,1.80213,1.80213,-0.53121
2807,11.44015,12.58678,12.58678,12.58678,12.58678,12.58678,12.58678,12.58678,12.58678,12.58678,12.58678,12.58678,12.5295,0.0012,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,-0.60049,0.0012,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,12.76967,-1.33072,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,0.41761,-0.24137
2808,24.13286,23.10269,23.10269,23.10269,23.10269,23.10269,23.10269,23.10269,23.10269,23.10269,23.10269,23.10269,24.0986,0.03546,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,-0.99471,0.0012,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,24.0974,0,0,0,0,0,0,0,0,0,0,0,0,0
2809,33.9512,32.62565,32.62565,32.62565,32.62565,32.62565,32.62565,32.62565,32.62565,32.62565,32.62565,32.62565,33.9512,0.0012,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,-1.32435,0.0012,33.95,33.95,33.95,33.95,33.95,33.95,33.95,33.95,33.95,33.95,33.95,33.95,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0
2810,23.68154,22.66494,22.66494,22.66494,22.66494,22.66494,22.66494,22.66494,22.66494,22.66494,22.66494,22.66494,23.68034,0.0012,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,-1.0154,0,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,23.68034,0,0,0,0,0,0,0,0,0,0,0,0,0
2811,-0.00876,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.31026,-0.00996,0.0012,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,-0.3003,0,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,-0.00996,0,0,0,0,0,0,0,0,0,0,0,0,0
2812,1.1376,1.26094,1.26094,1.26094,1.26094,1.26094,1.26094,1.26094,1.26094,1.26094,1.26094,1.26094,-153.71577,0.0012,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-0.0334,-154.91588,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,1.24248,-0.10609,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186,-0.04237
2813,45.77381,50.86992,50.86992,50.86992,50.86992,50.86992,50.86992,50.86992,50.86992,50.86992,50.86992,50.86992,47.18984,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,49.70072,-2.92691,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,-1.50969
2814,295.58585,88.6687,88.6687,88.6687,88.6687,88.6687,88.6687,88.6687,88.6687,88.6687,88.6687,88.6687,59.22608,246.9988,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,87.88531,-11.54824,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,-0.90803
2815,120.87513,144.30672,144.30672,144.30672,144.30672,144.30672,144.30672,144.30672,144.30672,144.30672,144.30672,144.30672,-268.3647,13.32192,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-379.48615,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,141.82597,-6.52277,2.48193,2.48193,2.48193,2.48193,2.48193,2.48193,2.48193,2.48193,2.48193,2.48193,2.48193,-2.95454
2816,89.82773,126.22079,126.22079,126.22079,126.22079,126.22079,126.22079,126.22079,126.22079,126.22079,126.22079,126.22079,-139.01285,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-233.4831,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,123.25166,-5.67273,2.97034,2.97034,2.97034,2.97034,2.97034,2.97034,2.97034,2.97034,2.97034,2.97034,2.97034,-1.0314
2817,936,102.07644,102.07644,102.07644,102.07644,102.07644,102.07644,102.07644,102.07644,102.07644,102.07644,102.07644,-350.55856,916.0975,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-433.0012,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,99.09252,-64,2.98272,2.98272,2.98272,2.98272,2.98272,2.98272,2.98272,2.98272,2.98272,2.98272,2.98272,-1.45988
2818,106.63287,81.65984,81.65984,81.65984,81.65984,81.65984,81.65984,81.65984,81.65984,81.65984,81.65984,81.65984,66.97655,46.8788,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,79.44217,-6.7581,2.21647,2.21647,2.21647,2.21647,2.21647,2.21647,2.21647,2.21647,2.21647,2.21647,2.21647,0.46558
2819,142.9461,84.19129,84.19129,84.19129,84.19129,84.19129,84.19129,84.19129,84.19129,84.19129,84.19129,84.19129,68.85345,82.8088,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,82.12302,-8.41572,2.06947,2.06947,2.06947,2.06947,2.06947,2.06947,2.06947,2.06947,2.06947,2.06947,2.06947,0.30163
